weight,round,result_type,winner_name,winner_team,winner_conf,winner_seed,winner_tpar_v1,winner_tpar_v3b,loser_name,loser_team,loser_conf,loser_seed,loser_tpar_v1,loser_tpar_v3b
174,R32,Dec,Myles Takats,Bucknell,EIWA,10,2.9771,3.0111,Luca Augustine,Pittsburgh,ACC,23,1.6532,1.8016
174,R32,Dec,Danny Wask,Navy,EIWA,15,3.4726,3.5278,Colin Kelly,Illinois,Big Ten,18,2.0788,2.3269
174,R32,TF,Simon Ruiz,Cornell,CAA,2,4.5424,4.5894,Cael Valencia,Arizona State,Big 12,31,0.9330,1.0852
174,PIG,TB-1,Grant O`Dell,Bellarmine,SoCon,33,0.9526,0.8629,Luke Condon,Wisconsin,Big Ten,32,0.1128,0.2748
184,Final,Dec,Max McEnelly,Minnesota,Big Ten,3,4.2990,4.5790,Rocco Welsh,Penn State,Big Ten,1,4.8655,5.1180
184,3rd,MD,Aeoden Sinclair,Missouri,Big 12,2,4.4185,4.6393,Caleb Campos,American,EIWA,10,2.2734,2.2880
184,5th,Forfeit,Brock Mantanona,Michigan,Big Ten,5,2.8740,3.0460,Angelo Ferrari,Iowa,Big Ten,7,3.8292,4.0900
184,7th,Forfeit,Eddie Neitenbach,Wyoming,Big 12,6,3.0196,3.2774,Zack Ryder,Oklahoma State,Big 12,22,1.5560,1.7860
184,C_SF,Forfeit,Caleb Campos,American,EIWA,10,2.2734,2.2880,Angelo Ferrari,Iowa,Big Ten,7,3.8292,4.0900
184,C_SF,MD,Aeoden Sinclair,Missouri,Big 12,2,4.4185,4.6393,Brock Mantanona,Michigan,Big Ten,5,2.8740,3.0460
184,C_QF,Dec,Caleb Campos,American,EIWA,10,2.2734,2.2880,Zack Ryder,Oklahoma State,Big 12,22,1.5560,1.7860
184,C_QF,Dec,Aeoden Sinclair,Missouri,Big 12,2,4.4185,4.6393,Eddie Neitenbach,Wyoming,Big 12,6,3.0196,3.2774
184,C_R4,SV-1,Caleb Campos,American,EIWA,10,2.2734,2.2880,Brian Soldano,Oklahoma,Big 12,20,2.5215,2.7720
184,C_R4,Forfeit,Zack Ryder,Oklahoma State,Big 12,22,1.5560,1.7860,Silas Allred,Nebraska,Big Ten,8,2.5300,2.7592
184,C_R4,Dec,Aeoden Sinclair,Missouri,Big 12,2,4.4185,4.6393,James Conway,Franklin and Marshall,EIWA,4,3.3303,3.3435
184,C_R4,Dec,Eddie Neitenbach,Wyoming,Big 12,6,3.0196,3.2774,Rylan Rogers,Lehigh,EIWA,16,1.8028,1.8428
184,SF,Dec,Rocco Welsh,Penn State,Big Ten,1,4.8655,5.1180,Brock Mantanona,Michigan,Big Ten,5,2.8740,3.0460
184,SF,TB-2,Max McEnelly,Minnesota,Big Ten,3,4.2990,4.5790,Angelo Ferrari,Iowa,Big Ten,7,3.8292,4.0900
184,C_R3,Dec,Caleb Campos,American,EIWA,10,2.2734,2.2880,Sal Perrine,Ohio,MAC,15,2.0200,2.0337
184,C_R3,SV-1,Zack Ryder,Oklahoma State,Big 12,22,1.5560,1.7860,Jaden Bullock,Virginia Tech,ACC,14,1.6179,1.6652
184,C_R3,MD,James Conway,Franklin and Marshall,EIWA,4,3.3303,3.3435,Shane Cartagena-Walsh,Rutgers,Big Ten,11,2.2006,2.3088
